term	dominance
tyrannosaur	0.963
independently	0.963
ferociousness	0.963
magnificent	0.963
swiftness	0.963
slaughter	0.963
olympus	0.963
inviolability	0.963
picasso	0.963
pitbull	0.963
unhesitant	0.963
incinerate	0.963
controllability	0.963
powertrain	0.963
predation	0.963
gladiatorial	0.963
superordinate	0.963
outvote	0.963
pulitzer	0.963
trendsetting	0.963
supercar	0.963
dukedom	0.963
ultraviolent	0.963
brigand	0.963
quickest	0.963
armies	0.963
browbeater	0.963
enlightener	0.963
unalterable	0.963
unshaken	0.963
preemptory	0.963
paymaster	0.963
prizefight	0.963
abortionist	0.963
uncrushable	0.963
methamphetamine	0.963
exploitative	0.963
monarchal	0.963
judicator	0.963
bulldoze	0.963
entrenchment	0.963
superbowl	0.963
reprehend	0.963
abjudicate	0.963
deathblow	0.963
mauler	0.963
irrefutably	0.963
definitively	0.963
dynamically	0.963
drastically	0.963
unbridle	0.963
magneto	0.963
decimator	0.963
predomination	0.963
colonizer	0.963
raiders	0.963
initiator	0.963
monocracy	0.963
efficaciously	0.963
imperious	0.963
forcibility	0.963
cocksureness	0.963
expropriator	0.963
invincibly	0.963
oligarchic	0.963
electable	0.963
extortionist	0.963
rapaciousness	0.963
landmine	0.963
undauntedly	0.963
fiercely	0.963
flawlessness	0.963
warrantable	0.963
unbowed	0.963
congresswoman	0.963
reinsurer	0.963
destructor	0.963
basilisk	0.963
singlehandedly	0.963
castrator	0.963
diabolically	0.963
clampdown	0.963
draconian	0.963
turbojet	0.963
demigod	0.963
cogently	0.963
incorruptibly	0.963
prizefighter	0.963
fearlessly	0.963
inquisition	0.963
generalship	0.963
relentlessly	0.963
demagogue	0.963
systematize	0.963
emperor	0.962
captain	0.961
masterful	0.960
domination	0.959
superiority	0.959
incontestability	0.958
undismayed	0.958
bulldogged	0.958
libertarian	0.958
valorous	0.958
uncapsizable	0.958
unshackle	0.958
uninfluenced	0.958
enthrone	0.958
supercomputer	0.958
wins	0.958
authorities	0.958
multitalented	0.958
grandiosity	0.958
virulent	0.958
imperturbability	0.958
withstood	0.958
topnotch	0.958
reassert	0.958
teargas	0.958
earldom	0.958
superclass	0.958
galahad	0.958
expansionary	0.958
titleholder	0.958
libertarianism	0.958
afterburner	0.958
browbeat	0.958
enrage	0.958
jihadist	0.958
heavies	0.958
indefatigable	0.958
unlimitedly	0.958
decidedness	0.958
polymath	0.958
knuckleduster	0.958
interrogator	0.958
motivated	0.958
superstructure	0.958
immortalizer	0.958
genocidal	0.958
pulverize	0.958
vatican	0.958
colonization	0.958
undaunted	0.958
confidently	0.958
obstructer	0.958
directorial	0.958
counterterrorism	0.958
overachieve	0.958
landowning	0.958
virile	0.958
triumphal	0.958
malefactor	0.958
windstorm	0.958
unfetter	0.958
propagandize	0.958
ironmaster	0.958
indisputable	0.958
outclass	0.958
effectively	0.958
astronomic	0.958
intrepidity	0.958
conquistador	0.958
funder	0.958
mightily	0.958
inextinguishable	0.958
decapitation	0.958
ambusher	0.958
ascendance	0.958
antimissile	0.958
resuscitative	0.958
popeye	0.958
almighty	0.958
industrialization	0.958
psychokinesis	0.958
legislatorial	0.958
supplanter	0.958
tigress	0.958
damager	0.958
warring	0.958
stonyhearted	0.958
dynamism	0.958
stoutheartedly	0.958
advantageously	0.958
hierarchic	0.958
insurrectionist	0.958
superbike	0.958
neurophysiologist	0.958
expansionist	0.958
stalwartness	0.958
enthronement	0.958
discoverer	0.958
explosiveness	0.958
superagency	0.958
supervisory	0.958
plunderer	0.958
extorter	0.958
lightsaber	0.958
microcontroller	0.958
indoctrinator	0.958
thunderous	0.958
insurrectionary	0.958
insurgence	0.958
dismemberer	0.958
brigadier	0.958
pillager	0.958
undeterred	0.958
courageousness	0.958
rearm	0.958
champs	0.958
strangler	0.958
monopolization	0.958
doctorial	0.958
centerstage	0.958
synthesize	0.958
ultranationalist	0.958
pitilessly	0.958
unyieldingness	0.958
countermand	0.958
coldhearted	0.958
marauder	0.958
dynastic	0.958
villainess	0.958
gigantically	0.958
unswayable	0.958
perceptively	0.958
systemize	0.958
principality	0.958
licensor	0.958
monumental	0.955
majesty	0.955
leading	0.954
power	0.953
dominate	0.953
chairwoman	0.953
satanically	0.952
extortive	0.952
rocklike	0.952
bludgeoner	0.952
capitalistic	0.952
ax	0.952
ensnarer	0.952
predetermine	0.952
indestructibility	0.952
capabilities	0.952
boldly	0.952
dogmatically	0.952
objectivism	0.952
superintendant	0.952
chutzpah	0.952
wheelhouse	0.952
microsurgery	0.952
fierceness	0.952
archenemy	0.952
steadfastness	0.952
indisputably	0.952
staunchly	0.952
skillfulness	0.952
bluebeard	0.952
poisoner	0.952
counterespionage	0.952
honours	0.952
bloodlust	0.952
annihilator	0.952
evictor	0.952
aristocratism	0.952
inaugurator	0.952
flogging	0.952
courageously	0.952
pitiless	0.952
aggravator	0.952
ravager	0.952
gravitas	0.952
behead	0.952
vaporize	0.952
vulcan	0.952
astrophysical	0.952
highhandedness	0.952
advancer	0.952
gunship	0.952
slaughterer	0.952
militaristic	0.952
nondemocratic	0.952
confiscator	0.952
manslayer	0.952
richest	0.952
unpitying	0.952
depredation	0.952
domineer	0.952
seized	0.952
inciter	0.952
bullishly	0.952
deadeye	0.952
insurrect	0.952
demander	0.952
counterintelligence	0.952
battlewagon	0.952
patrolling	0.952
monstrousness	0.952
elicitor	0.952
decapitate	0.952
queenly	0.952
compulsorily	0.952
ferociously	0.952
prosperousness	0.952
minotaur	0.952
mayoral	0.952
leadership	0.948
unexcelled	0.944
pulverizer	0.944
hubris	0.944
cataclysmically	0.944
lethality	0.944
bioengineer	0.944
forcefulness	0.944
knowledgeable	0.944
supercharge	0.944
neurosurgical	0.944
brilliancy	0.944
truncheon	0.944
showstopper	0.944
antivirus	0.944
monarchic	0.944
articulateness	0.944
exorciser	0.944
provocateur	0.944
hypersonic	0.944
indisputability	0.933
omnisciently	0.933
territorialism	0.933
whizzkid	0.933
boss	0.932
evisceration	0.926
robustness	0.926
egotism	0.926
unsuppressed	0.926
revolutionist	0.926
besiege	0.926
counterrevolutionary	0.926
encroacher	0.926
incriminator	0.926
eradicator	0.926
remorseless	0.926
monarchism	0.926
messianic	0.926
brilliantly	0.926
incorruptibility	0.926
incorruptible	0.926
deftness	0.926
proudest	0.926
faultlessly	0.926
aerodynamicist	0.926
irrepressibility	0.926
fiendishly	0.926
micromanage	0.926
bodybuilding	0.926
megavolt	0.926
bludgeon	0.926
vindicator	0.926
superhumanly	0.926
princedom	0.926
astutely	0.926
indestructibly	0.926
assailer	0.926
trendsetter	0.926
accusatory	0.926
detonated	0.926
stringent	0.926
superglue	0.926
thwarter	0.926
deniable	0.926
supervisorial	0.926
unprejudiced	0.926
reassertion	0.926
outscore	0.926
inviolate	0.926
uncompromising	0.926
creditworthy	0.926
colossally	0.926
imperium	0.926
deify	0.926
geodynamic	0.926
ironwood	0.926
supercharged	0.926
hugeness	0.926
assuredness	0.926
immovably	0.926
headhunter	0.926
ruthless	0.926
radicalism	0.926
protectorate	0.926
inundator	0.926
defeater	0.926
lioness	0.926
bullies	0.926
triathlete	0.926
unquenchable	0.926
directorship	0.926
rapacious	0.926
blowhard	0.926
bombproof	0.926
ultra	0.926
gunning	0.926
nationalize	0.926
freed	0.926
forcibleness	0.926
extricated	0.926
stronghold	0.926
foreseer	0.926
definitiveness	0.926
skyrocket	0.926
excellency	0.926
capturer	0.926
rescuer	0.926
undeviating	0.926
incarcerator	0.926
maraud	0.926
machinegun	0.926
respectworthy	0.926
outshine	0.926
unmerciful	0.926
failsafe	0.926
trampler	0.926
formidably	0.926
jurisdictional	0.926
sharpshooting	0.926
executively	0.926
dogmatist	0.926
liberalizer	0.926
lordliness	0.926
unflustered	0.926
pummel	0.926
micromanipulator	0.926
egotist	0.926
uninterruptible	0.926
supercharger	0.926
flagellator	0.926
productiveness	0.926
sacrosanct	0.926
preponderancy	0.926
smartness	0.926
superbly	0.917
workhorse	0.917
excommunicate	0.917
highhanded	0.917
inhumanly	0.917
granter	0.917
intransigence	0.917
successfully	0.917
controllably	0.917
televangelist	0.917
ambitiousness	0.917
trafficker	0.917
prizewinning	0.917
overqualified	0.917
exhortative	0.917
multiprocessing	0.917
trailbreaker	0.917
lionhearted	0.917
forcible	0.917
preempt	0.917
egoistic	0.917
unarguable	0.917
imperturbable	0.917
authorizer	0.917
warrantor	0.917
automation	0.917
liberationist	0.917
supersonic	0.917
constrainer	0.917
predominately	0.917
incorruptibleness	0.917
ingeniously	0.917
incomparably	0.917
uncontroverted	0.917
omnipresence	0.917
suppressor	0.917
imposer	0.917
brawniness	0.917
tigerish	0.917
devourer	0.917
objectify	0.917
paratrooper	0.917
hematologist	0.917
feudalize	0.917
counteractive	0.917
monumentality	0.917
malevolency	0.917
pitilessness	0.917
allergist	0.917
exterminatory	0.917
monolithic	0.917
stridently	0.917
headmistress	0.917
outbalance	0.917
unflawed	0.917
spaceflight	0.917
feudist	0.917
evilness	0.917
uppermost	0.917
valorously	0.917
machismo	0.917
nonexpendable	0.917
thousandfold	0.917
extraterritoriality	0.917
eviscerate	0.917
bullishness	0.917
abolisher	0.917
oppositionist	0.917
superjet	0.917
daunt	0.917
autodidact	0.917
supernormal	0.917
limitlessness	0.917
unmatchable	0.917
dynamist	0.917
schemer	0.917
condemner	0.917
actuate	0.917
antidemocrat	0.917
unflagging	0.917
lawmaking	0.917
uncontestable	0.917
radicalization	0.917
abolitionist	0.917
massiveness	0.917
malevolence	0.917
godliness	0.917
penalize	0.917
exaltedness	0.917
intelligently	0.917
hawkish	0.917
spurn	0.917
muscleman	0.917
limitlessly	0.917
irreproachableness	0.917
immovability	0.917
untamable	0.917
exploitive	0.917
unshrinking	0.917
unerring	0.917
curtailer	0.917
unambiguousness	0.917
diabolicalness	0.917
unalterably	0.917
abusiveness	0.917
synergism	0.917
duelist	0.917
decimation	0.917
individualist	0.917
jumpstart	0.917
coequal	0.917
certitude	0.917
ambassadorial	0.917
fiendlike	0.917
besiegement	0.917
iconoclastically	0.917
gastroenterologist	0.917
coercively	0.917
arrogantly	0.917
adjudicative	0.917
rebelliousness	0.917
unshakably	0.917
unchain	0.917
thundercloud	0.917
intellectualism	0.917
prohibitor	0.917
policemen	0.917
technocrat	0.917
combatively	0.917
superabundance	0.917
gargantuan	0.917
resuscitator	0.917
revitalize	0.917
antimonarchic	0.917
brandish	0.917
hellhound	0.917
provability	0.917
potently	0.917
rectitude	0.917
competitiveness	0.917
colonize	0.917
newsmaker	0.917
nondependent	0.917
revered	0.917
interventionism	0.917
conductorship	0.917
undiscouraged	0.917
audaciously	0.905
incisiveness	0.905
steeliness	0.905
dragonish	0.905
sarge	0.905
surefooted	0.905
pugnaciously	0.905
draconic	0.905
uncloak	0.905
mutineer	0.905
decimate	0.905
countercyclical	0.905
grandiosely	0.905
supersession	0.905
wolfishly	0.905
stabilization	0.905
neurobiologist	0.905
shatterproof	0.905
neuropsychologist	0.905
litigiousness	0.905
clearheadedly	0.905
confiner	0.905
monsignor	0.905
vampirism	0.905
electromagnet	0.905
disrupter	0.905
declassify	0.905
excellently	0.905
ambidexterity	0.905
outfox	0.905
muscularity	0.905
megadeal	0.905
dropkick	0.905
effectuality	0.905
surpassed	0.905
masterwork	0.905
stabber	0.905
strutting	0.905
brazenfaced	0.905
antisubmarine	0.905
bluffer	0.905
hurtle	0.905
hardline	0.905
embezzle	0.905
nemeses	0.905
unflappable	0.905
coolheaded	0.905
heinously	0.905
deregulate	0.905
militancy	0.905
extremism	0.905
mastiff	0.905
microprocessor	0.905
manhandle	0.905
unsheathed	0.905
dragster	0.905
powered	0.905
castigate	0.905
giantess	0.905
unalienable	0.905
decisively	0.905
incontestably	0.905
nationalization	0.905
unifier	0.905
dragoon	0.905
privateer	0.905
badmouth	0.905
outmaneuver	0.905
forcer	0.905
intensity	0.904
commissioner	0.898
supremely	0.897
victorious	0.892
autonomy	0.891
champion	0.890
strengthening	0.890
strongbox	0.889
chipmaker	0.889
alertly	0.889
demolitionist	0.889
senatorially	0.889
surefire	0.889
preternatural	0.889
flogger	0.889
unapologetic	0.889
honorably	0.889
deregulator	0.889
predominantly	0.889
imperativeness	0.889
kinghood	0.889
dexterous	0.889
supercilious	0.889
superbug	0.889
guardsman	0.889
unbendable	0.889
criticality	0.889
concertmaster	0.889
proctorship	0.889
handgrenade	0.889
outmatch	0.889
endocrinologist	0.889
feds	0.889
acoustician	0.889
smote	0.889
statehood	0.889
contemptuousness	0.889
adjure	0.889
brazenly	0.889
volcanism	0.889
demolisher	0.889
eternalize	0.889
stockholders	0.889
unrestrictedly	0.889
knightliness	0.889
imperatively	0.889
suffragist	0.889
profitableness	0.889
matriarchy	0.889
germicide	0.889
bravely	0.889
invariableness	0.889
irreproachably	0.889
landownership	0.889
conflagrate	0.889
superincumbent	0.889
diabolic	0.889
womanize	0.889
ironsides	0.889
standout	0.889
dissuasive	0.889
feudalist	0.889
bullmastiff	0.889
epitomizer	0.889
munitions	0.889
hypercritic	0.889
bloodthirstily	0.889
patroller	0.889
psychophysicist	0.889
antigovernment	0.889
impeccably	0.889
sociopathic	0.889
mesmeriser	0.889
dangerousness	0.889
vitalize	0.889
barbarity	0.889
indubitable	0.889
ravish	0.889
doctrinarian	0.889
cataclysmal	0.889
distinguisher	0.889
frontrunner	0.889
moneymaker	0.889
berate	0.889
outpace	0.889
notability	0.889
horsewhip	0.889
clearheaded	0.889
determinant	0.889
evildoer	0.889
stateliness	0.889
salvo	0.889
operability	0.889
superciliously	0.889
irreducibly	0.889
gunrunning	0.889
bigamist	0.889
peerlessly	0.889
irreproachable	0.889
determinability	0.889
impresario	0.889
intransigent	0.889
pivotal	0.889
vigorousness	0.889
egocentricity	0.889
nobleness	0.889
privatize	0.889
matchlessly	0.889
delegator	0.889
phallus	0.889
unhampered	0.889
uncompromised	0.889
pugilistic	0.889
lacerate	0.889
archduchess	0.889
antislavery	0.889
counterforce	0.889
racketeer	0.889
brutalize	0.889
asserter	0.889
persuader	0.889
fiefdom	0.889
intrepidness	0.889
ultraconservative	0.889
centralizer	0.889
militarize	0.889
sensei	0.889
interventionist	0.889
predatorily	0.889
accomplisher	0.889
countercharge	0.889
diabolism	0.889
undoubting	0.889
judicative	0.889
monopolistically	0.889
criminalize	0.889
companies	0.889
hydropower	0.889
glower	0.889
baddest	0.889
federalize	0.889
undemocratic	0.889
professionalism	0.888
influential	0.888
confidence	0.886
professional	0.886
supremacy	0.886
commandant	0.886
efficacy	0.885
superintendent	0.884
superior	0.880
attainment	0.880
hierarchical	0.878
firmness	0.878
great success	0.876
talented	0.876
successful	0.876
remilitarize	0.875
kingmaker	0.875
assigner	0.875
determinedly	0.875
logician	0.875
creatorship	0.875
dictatorially	0.875
gunmanship	0.875
accomplishable	0.875
undoubtedly	0.875
matchlessness	0.875
antisemitic	0.875
prevision	0.875
ordain	0.875
imperialistically	0.875
legate	0.875
bushmaster	0.875
crucifier	0.875
collude	0.875
monomaniac	0.875
savageness	0.875
errorless	0.875
forcefully	0.875
viciousness	0.875
insuppressible	0.875
inalterability	0.875
honorability	0.875
mamba	0.875
anticlericalism	0.875
injunctive	0.875
doubtlessness	0.875
masterclass	0.875
enfranchise	0.875
diagnostician	0.875
confiscated	0.875
ransack	0.875
impermeably	0.875
blamer	0.875
controvert	0.875
unilateral	0.875
machination	0.875
tremendousness	0.875
enragement	0.875
enemies	0.875
drencher	0.875
hardhead	0.875
vehemence	0.875
kingfish	0.875
personifier	0.875
propulsive	0.875
preventer	0.875
preordain	0.875
unmovable	0.875
outthink	0.875
flawlessly	0.875
matchless	0.875
exclusiveness	0.875
resolver	0.875
teleportation	0.875
stratospheric	0.875
subjugate	0.875
feudalistic	0.875
rioter	0.875
interferer	0.875
intellectuality	0.875
freethinker	0.875
provoker	0.875
impenetrableness	0.875
wiretapping	0.875
redeemer	0.875
articulately	0.875
haughtiness	0.875
guiltlessness	0.875
outdraw	0.875
insurrectionism	0.875
honourable	0.875
irrefutability	0.875
shellproof	0.875
uncatchable	0.875
rabidity	0.875
mercantilism	0.875
lasher	0.875
transnational	0.875
exhaustless	0.875
orca	0.875
perceptiveness	0.875
kevlar	0.875
divisiveness	0.875
claymore	0.875
secessionist	0.875
remarkableness	0.875
transformative	0.875
invaluably	0.875
incarcerate	0.875
manipulatively	0.875
swaggerer	0.875
neocolonial	0.875
imperially	0.875
cosmonaut	0.875
antiparliamentary	0.875
entitled	0.875
knifepoint	0.875
trenchant	0.875
industrialize	0.875
impounder	0.875
willfulness	0.875
playmaker	0.875
eugenic	0.875
heliocentrically	0.875
sass	0.875
counterthrust	0.875
rightness	0.875
attestable	0.875
eradicative	0.875
emancipationist	0.875
colonialism	0.875
steelmaking	0.875
optimality	0.875
exploder	0.875
capableness	0.875
deanship	0.875
uncontrovertibly	0.875
invaluableness	0.875
impale	0.875
macroeconomic	0.875
intellectualist	0.875
unruffled	0.875
militarization	0.875
innovationist	0.875
maximal	0.875
persevere	0.874
mighty	0.872
dynasty	0.872
conquering	0.872
powerfully	0.870
decisive	0.870
perfection	0.868
authority	0.868
governor	0.868
excluder	0.867
revolutionarily	0.867
winnable	0.867
topflight	0.867
flameproof	0.867
optimization	0.867
moneyman	0.867
supervisor	0.866
patriotic	0.866
fortress	0.866
exceptional	0.866
chairman	0.866
overlord	0.864
victory	0.862
commandeer	0.862
highness	0.862
strategic	0.861
conqueror	0.860
majority	0.860
skilled	0.858
superman	0.858
battleaxe	0.857
injurer	0.857
imperialize	0.857
unitarily	0.857
unlawfulness	0.857
cobra	0.857
sodomize	0.857
undisputedly	0.857
proficiently	0.857
retributive	0.857
inventiveness	0.857
chairlady	0.857
buccaneer	0.857
chairmanship	0.857
annihilationist	0.857
thuggish	0.857
sharply	0.857
strongpoint	0.857
foremanship	0.857
providential	0.857
expellant	0.857
penetrator	0.857
internist	0.857
robberies	0.857
gunned	0.857
uncontained	0.857
devilry	0.857
draconically	0.857
impregnably	0.857
bactericide	0.857
abrasively	0.857
tiptop	0.857
declarer	0.857
emancipative	0.857
mesmerize	0.857
lawfulness	0.857
matriarchic	0.857
irrepressibly	0.857
charioteer	0.857
brandisher	0.857
effectivity	0.857
catalyses	0.857
reptilian	0.857
anabolic	0.857
incisively	0.857
impulsion	0.857
savagely	0.857
wrathfully	0.857
burglarproof	0.857
electrifier	0.857
paternalistic	0.857
goldmine	0.857
extractive	0.857
bossiness	0.857
exonerator	0.857
exclusionism	0.857
psychopathy	0.857
awesomeness	0.854
excommunicatory	0.852
archangelic	0.852
reconsolidate	0.852
directorate	0.852
convictional	0.852
statehouse	0.852
manipulator	0.852
lethally	0.852
cockiness	0.852
contester	0.852
insulter	0.852
thunderously	0.852
shutout	0.852
egotistically	0.852
exclusionary	0.852
tactician	0.852
saliency	0.852
egoism	0.852
brutishness	0.852
vying	0.852
triumph	0.852
recentralization	0.852
suppresser	0.852
inarguably	0.852
pathfinder	0.852
cocksure	0.852
dialectician	0.852
sturdiness	0.852
theoretician	0.852
establishmentarian	0.852
mensa	0.852
hypnotizer	0.852
awarder	0.852
immensity	0.852
succeed	0.852
rigorousness	0.852
egomaniacal	0.852
steadfastly	0.852
exclusivity	0.852
shrewdness	0.852
captivator	0.852
encirclement	0.852
gripper	0.852
obtainer	0.852
cryptologist	0.852
unsparing	0.852
freethinking	0.852
unconquered	0.852
disambiguate	0.852
outrace	0.852
hydroelectricity	0.852
mercantilist	0.852
unswerving	0.852
hypervelocity	0.852
mercilessly	0.852
unexceptionably	0.852
defied	0.852
monetization	0.852
prohibitively	0.852
paratroop	0.852
surmount	0.852
legitimize	0.852
exactitude	0.852
outstrip	0.852
leader	0.852
punitively	0.852
metacognition	0.852
takedown	0.852
reinstitute	0.852
enforceability	0.852
kilowatt	0.852
hellcat	0.852
ruthlessly	0.852
astuteness	0.852
commanding	0.850
prestigious	0.850
blunt	0.850
expertise	0.850
smart	0.846
brilliant	0.846
billionaire	0.846
richness	0.844
extreme trust	0.844
greatest	0.844
imperial	0.844
breathtaking	0.842
gigantic	0.842
cleverness	0.842
magnificence	0.840
amazingly	0.840
owner	0.840
lieutenant	0.840
dictatorial	0.840
entrepreneur	0.840
reputable	0.838
omnipotent	0.838
directive	0.836
mastermind	0.836
diplomatic	0.836
presidency	0.836
phenomenal	0.836
strategy	0.836
ambassador	0.834
producer	0.834
diamonds	0.834
upheld	0.833
psychokinetic	0.833
pompously	0.833
thrasher	0.833
inquisitionist	0.833
arbitrative	0.833
demonize	0.833
arbitrage	0.833
lifesaving	0.833
coronate	0.833
strategize	0.833
bullhead	0.833
oppositional	0.833
galvanize	0.833
cytotoxic	0.833
spanker	0.833
viperous	0.833
efficaciousness	0.833
maliciously	0.833
narcism	0.833
expunge	0.833
decrypt	0.833
faultfinding	0.833
redefine	0.833
stoutheartedness	0.833
counterblast	0.833
outflank	0.833
mercenaries	0.833
devilishness	0.833
sapient	0.833
