term	valence
valued	1.000
masterfully	1.000
delectableness	1.000
peacemaking	1.000
brilliantly	1.000
congratulator	1.000
kindheartedly	1.000
ideals	1.000
lightheartedness	1.000
lavishness	1.000
openheartedly	1.000
plus	1.000
acclamation	1.000
incorruptible	1.000
consummately	1.000
justifiableness	1.000
fantastical	1.000
luxuriate	1.000
hurray	1.000
chivalrous	1.000
entrepreneurship	1.000
heartiness	1.000
galahad	1.000
seaworthiness	1.000
valiantly	1.000
philharmonic	1.000
cordiality	1.000
transformational	1.000
ingeniously	1.000
joyfully	1.000
immortalize	1.000
terrifically	1.000
unwearied	1.000
antipoverty	1.000
bigheartedness	1.000
superlatively	1.000
generousness	1.000
unsullied	1.000
magnificent	1.000
neurogenesis	1.000
gandhi	1.000
mentorship	1.000
inventiveness	1.000
sapient	1.000
proudest	1.000
hugging	1.000
exultant	1.000
spellbind	1.000
irreproachability	1.000
complimentarily	1.000
rubies	1.000
radiantly	1.000
honoured	1.000
activeness	1.000
well	1.000
timelessness	1.000
organically	1.000
magnanimousness	1.000
omnipresence	1.000
wisely	1.000
beachfront	1.000
guilelessly	1.000
ecotourism	1.000
creatively	1.000
upraise	1.000
homelike	1.000
flavorsome	1.000
donated	1.000
gloriously	1.000
jovially	1.000
fairytale	1.000
serenely	1.000
exhilarate	1.000
resourcefulness	1.000
fabulousness	1.000
civilizer	1.000
broadminded	1.000
palatial	1.000
godspeed	1.000
saintlike	1.000
uncongested	1.000
veracious	1.000
soulfulness	1.000
symphonious	1.000
indomitability	1.000
selflessly	1.000
birdsong	1.000
exultation	1.000
outgoingness	1.000
indefatigable	1.000
inspirationally	1.000
nonpathogenic	1.000
allegiant	1.000
giftedness	1.000
wholeheartedness	1.000
profitability	1.000
bien	1.000
homeostasis	1.000
effervescence	1.000
embracement	1.000
very well	1.000
masterclass	1.000
peacefulness	1.000
brownies	1.000
meritoriously	1.000
polymath	1.000
guiltlessly	1.000
inseparableness	1.000
merrier	1.000
hygienically	1.000
horsemanship	1.000
beautifier	1.000
elatedly	1.000
sidesplitting	1.000
commendatory	1.000
songbird	1.000
mirthful	1.000
enfranchise	1.000
sumptuousness	1.000
dependability	1.000
clearheadedly	1.000
hospitably	1.000
graciousness	1.000
godchild	1.000
patriotically	1.000
gentlemanlike	1.000
abundantly	1.000
welcomes	1.000
beatification	1.000
idyllically	1.000
heartwarming	1.000
preeminence	1.000
melodiously	1.000
meaningfulness	1.000
pleasantly	1.000
expressivity	1.000
rosiness	1.000
enlivenment	1.000
acrobatic	1.000
victoriously	1.000
incandescently	1.000
distinctiveness	1.000
trophies	1.000
beneficiation	1.000
providential	1.000
determinedness	1.000
successfulness	1.000
exultantly	1.000
fervidly	1.000
shininess	1.000
betrothal	1.000
mettlesome	1.000
inspirable	1.000
resplendency	1.000
tenderly	1.000
telegenic	1.000
yippee	1.000
saved	1.000
warless	1.000
forgiver	1.000
loftiness	1.000
skillfulness	1.000
airmanship	1.000
helpfully	1.000
regally	1.000
immaculately	1.000
kindly	1.000
wellbeing	1.000
fatigueless	1.000
masterstroke	1.000
wellborn	1.000
harmlessness	1.000
tranquillity	1.000
superhumanly	1.000
zestful	1.000
loveable	1.000
liberator	1.000
decisiveness	1.000
honorableness	1.000
undefeatable	1.000
spotlessness	1.000
undaunted	1.000
gainfully	1.000
possibilities	1.000
winnable	1.000
joyously	1.000
lovability	1.000
exquisiteness	1.000
sportsmanly	1.000
handsomeness	1.000
splendiferous	1.000
unfaltering	1.000
donating	1.000
excellently	1.000
ambrosial	1.000
ambidexterity	1.000
indestructibly	1.000
rapturous	1.000
supergiant	1.000
blessedness	1.000
hilariously	1.000
beatify	1.000
healthfully	1.000
valorously	1.000
perfectness	1.000
joviality	1.000
illuminated	1.000
emancipate	1.000
philanthropically	1.000
heroically	1.000
wonders	1.000
optimistically	1.000
matchless	1.000
gleefully	1.000
humaneness	1.000
cheerio	1.000
awesomely	1.000
beauteous	1.000
courtliness	1.000
altruistic	1.000
enlightener	1.000
appreciator	1.000
honours	1.000
aplenty	1.000
lusciously	1.000
forgivingness	1.000
oxygenator	1.000
trustworthiness	1.000
incredibleness	1.000
immunize	1.000
delectably	1.000
beatitude	1.000
knightliness	1.000
felicitousness	1.000
nobly	1.000
resplendence	1.000
sunray	1.000
overachieve	1.000
neatness	1.000
cuddlesome	1.000
amiableness	1.000
restfulness	1.000
suffragist	1.000
warmhearted	1.000
triumphal	1.000
profitableness	1.000
inculpably	1.000
ideally	1.000
zestfully	1.000
unrivalled	1.000
eminency	1.000
thankfully	1.000
achievable	1.000
surpassed	1.000
outstand	1.000
fide	1.000
masterwork	1.000
bravely	1.000
enrichment	1.000
celebrative	1.000
ordainment	1.000
succor	1.000
beneficially	1.000
dearness	1.000
congeniality	1.000
huggable	1.000
magnanimous	1.000
agreeableness	1.000
supernormal	1.000
beautifulness	1.000
bejewel	1.000
volunteerism	1.000
scrupulousness	1.000
limitlessness	1.000
lucidness	1.000
providently	1.000
fabulously	1.000
courteousness	1.000
gloriousness	1.000
splendidly	1.000
ethicality	1.000
nuptial	1.000
ripeness	1.000
bounteously	1.000
happily	1.000
wittiness	1.000
unmatchable	1.000
uninjured	1.000
ascendency	1.000
niceness	1.000
courageously	1.000
melodiousness	1.000
stateswoman	1.000
peppiness	1.000
cordialness	1.000
steadfastly	1.000
dauntless	1.000
motherliness	1.000
deathless	1.000
inculpable	1.000
kinglike	1.000
deify	1.000
jocular	1.000
resplendently	1.000
openheartedness	1.000
uprightness	1.000
kindheartedness	1.000
equanimity	1.000
tenderheartedly	1.000
generously	1.000
harmonic	1.000
applauder	1.000
fondly	1.000
tiptop	1.000
megastar	1.000
redeemer	1.000
caroler	1.000
adored	1.000
lovingness	1.000
warmheartedly	1.000
great opportunity	1.000
laudably	1.000
veraciously	1.000
mirthfulness	1.000
cherisher	1.000
supercharge	1.000
upswing	1.000
divinely	1.000
unassailable	1.000
pluckiness	1.000
virtuousness	1.000
bighearted	1.000
impeccably	1.000
curatively	1.000
heartedness	1.000
learnable	1.000
laudability	1.000
prayerfulness	1.000
almightiness	1.000
magnanimously	1.000
delightfulness	1.000
unworried	1.000
witticism	1.000
enraptured	1.000
politely	1.000
luckily	1.000
triumphantly	1.000
resourcefully	1.000
highlife	1.000
reconciler	1.000
luxuriousness	1.000
democratization	1.000
idealness	1.000
brilliancy	1.000
nondiscrimination	1.000
expertness	1.000
actualization	1.000
humanitarianism	1.000
aspirational	1.000
justifiably	1.000
exaltedness	1.000
inexhaustibility	1.000
resiliency	1.000
intelligently	1.000
jovialness	1.000
adorableness	1.000
scrumptiously	1.000
wondrously	1.000
invulnerability	1.000
sereneness	1.000
unselfishly	1.000
eloquently	1.000
beauties	1.000
safely	1.000
joyfulness	1.000
festivities	1.000
irresistibleness	1.000
adulation	1.000
affability	1.000
benefactress	1.000
perceptiveness	1.000
productively	1.000
deification	1.000
prosperously	1.000
appreciatively	1.000
enchanter	1.000
invincibility	1.000
jubilantly	1.000
companionability	1.000
hired	1.000
spellbinder	1.000
showstopper	1.000
gracefulness	1.000
companionable	1.000
kingliness	1.000
ironman	1.000
musicianship	1.000
adeptness	1.000
blissfully	1.000
irresistibly	1.000
unboundedly	1.000
luxuriance	1.000
goldenness	1.000
majestically	1.000
lovebirds	1.000
noncancerous	1.000
endorphin	1.000
easiness	1.000
sweetly	1.000
unerring	1.000
gratefully	1.000
outplay	1.000
spiritedness	1.000
considerately	1.000
playmaking	1.000
harmonization	1.000
luminousness	1.000
regality	1.000
glamorously	1.000
supersensory	1.000
jubilatory	1.000
stalwartness	1.000
summerlike	1.000
peerlessly	1.000
rhapsodically	1.000
irreproachable	1.000
reconnection	1.000
invaluably	1.000
luminary	1.000
ultrafashionable	1.000
loveliest	1.000
unconquered	1.000
healthily	1.000
nimbleness	1.000
undefiled	1.000
hazardless	1.000
elegantly	1.000
unclouded	1.000
lovebird	1.000
lustrously	1.000
unblemished	1.000
chivalric	1.000
richest	1.000
indestructibleness	1.000
enviably	1.000
antibody	1.000
freeware	1.000
healthfulness	1.000
saintliness	1.000
bedazzle	1.000
diligently	1.000
nonviolence	1.000
hilariousness	1.000
jubilation	1.000
grinning	1.000
amicableness	1.000
empowerment	1.000
collegiality	1.000
gainfulness	1.000
humanizer	1.000
altruism	1.000
rapturously	1.000
unbeatably	1.000
childproof	1.000
angelical	1.000
dazzler	1.000
puppies	1.000
invincibly	1.000
matchlessly	1.000
lyricism	1.000
untiring	1.000
incorrupt	1.000
unrushed	1.000
unspoiled	1.000
invigorated	1.000
revaccination	1.000
thankfulness	1.000
attaboy	1.000
redemptive	1.000
gardenlike	1.000
nonhazardous	1.000
conviviality	1.000
brightest	1.000
afterglow	1.000
fantastically	1.000
delightfully	1.000
vivaciousness	1.000
antislavery	1.000
gleefulness	1.000
saneness	1.000
cooperator	1.000
orgasmic	1.000
openhearted	1.000
amiability	1.000
acquitted	1.000
seemliness	1.000
hydration	1.000
conciliatorily	1.000
indispensableness	1.000
reinvigorate	1.000
sugarplum	1.000
supermom	1.000
godlikeness	1.000
trustiness	1.000
perfectly	1.000
commendably	1.000
kindhearted	1.000
precocity	1.000
goodliness	1.000
lusciousness	1.000
skyrocket	1.000
sanctifier	1.000
elatedness	1.000
adventurousness	1.000
unchain	1.000
beneficence	1.000
flawlessness	1.000
zestfulness	1.000
deliciously	1.000
multimillion	1.000
intellectualism	1.000
victories	1.000
conserver	1.000
courageousness	1.000
magnificently	1.000
deity	1.000
herculean	1.000
respectworthy	1.000
frolicsome	1.000
trimness	1.000
preciously	1.000
trustable	1.000
felicitous	1.000
kingship	1.000
levelheadedness	1.000
propitiously	1.000
oxytocin	1.000
encourager	1.000
truthfully	1.000
spotlessly	1.000
altruistically	1.000
endorsable	1.000
sportsmanlike	1.000
champs	1.000
recoverability	1.000
ecstatically	1.000
outshine	1.000
prettiness	1.000
agilely	1.000
rightness	1.000
germless	1.000
exalter	1.000
achieve success	1.000
tastily	1.000
safest	1.000
proudly	1.000
euphonically	1.000
tenderhearted	1.000
gorgeousness	1.000
worthiest	1.000
honoree	1.000
enrapt	1.000
revitalize	1.000
tenderheartedness	1.000
unsurpassable	1.000
splendorous	1.000
fortunately	1.000
artisanship	1.000
skillfully	1.000
rejuvenation	1.000
compatibly	1.000
brotherliness	1.000
ingeniousness	1.000
blamelessly	1.000
rededicate	1.000
optimality	1.000
genuineness	1.000
goodheartedly	1.000
magnanimity	1.000
luxuriantly	1.000
apotheosis	1.000
conciliatory	1.000
wholesomeness	1.000
exactness	1.000
endear	1.000
altruist	1.000
irresistibility	1.000
conduciveness	1.000
kindest	1.000
exultancy	1.000
pleasantness	1.000
nutritiously	1.000
invaluableness	1.000
abilities	1.000
contentedness	1.000
exultance	1.000
goldmine	1.000
comprehensiveness	1.000
impeccability	1.000
exemplariness	1.000
idyll	1.000
acquitter	1.000
admiralship	1.000
honorific	1.000
demigod	1.000
illustriousness	1.000
wholeheartedly	1.000
bountifully	1.000
unstinted	1.000
respectfulness	1.000
invigoration	1.000
affectionately	1.000
glamor	1.000
immortally	1.000
energizer	1.000
superwoman	1.000
incorruptibly	1.000
centenarian	1.000
universalism	1.000
humanely	1.000
dauntlessness	1.000
attunement	1.000
suppleness	1.000
trustfully	1.000
fearlessly	1.000
sunroom	1.000
conscientiousness	1.000
revered	1.000
sublimity	1.000
heavenliness	1.000
helpfulness	1.000
peachiness	1.000
purposefulness	1.000
cuddly	1.000
prosperousness	1.000
apostleship	1.000
quintessential	1.000
enrapture	1.000
tactfulness	1.000
joyousness	1.000
pureness	1.000
smartness	1.000
neighborly	1.000
tenaciousness	1.000
festiveness	1.000
humanism	1.000
selflessness	1.000
peacemaker	1.000
benefiter	1.000
grandness	1.000
lovably	1.000
love	0.996
good idea	0.994
generous	0.991
brotherhood	0.990
joyful	0.990
passionate	0.990
happiest	0.990
brilliance	0.990
greatness	0.990
cheerful	0.990
happier	0.986
extremely positive	0.986
enjoyable	0.985
happy	0.985
joys	0.981
prestigious	0.979
best wishes	0.976
wonderful	0.971
marvelously	0.968
sweetie	0.966
unpolluted	0.963
whoopee	0.963
reforestation	0.963
cuteness	0.963
convivial	0.963
musicality	0.963
matchlessness	0.963
cheerily	0.963
assertiveness	0.963
feverless	0.963
freehearted	0.963
delectability	0.963
debtless	0.963
trueness	0.963
liberationist	0.963
icecream	0.963
incomparableness	0.963
tastiness	0.963
liked	0.963
faultlessly	0.963
sisterly	0.963
seaworthy	0.963
unforgettably	0.963
bestselling	0.963
humanistic	0.963
praiseful	0.963
airworthy	0.963
progressiveness	0.963
fruitfully	0.963
cherubic	0.963
vibrancy	0.963
festively	0.963
unscarred	0.963
comradeship	0.963
canonization	0.963
spiritualize	0.963
wrinkleless	0.963
valuably	0.963
companionably	0.963
invigorative	0.963
unprejudiced	0.963
civilised	0.963
outperform	0.963
ultrafast	0.963
timelessly	0.963
unbreakably	0.963
desired	0.963
unimpeachably	0.963
delighter	0.963
cloudlessness	0.963
ideality	0.963
humorously	0.963
idealistically	0.963
euphonic	0.963
statesmanship	0.963
sociability	0.963
likability	0.963
swanlike	0.963
nuzzle	0.963
compassionately	0.963
salutatorian	0.963
opportunities	0.963
inestimably	0.963
spectacularly	0.963
rescuer	0.963
wizardry	0.963
coziness	0.963
approachable	0.963
adorer	0.963
scholarliness	0.963
glorifier	0.963
productiveness	0.963
crimeless	0.963
trove	0.963
give thanks	0.962
good health	0.962
smiling	0.962
romance	0.960
hugs	0.960
joy	0.960
superb	0.960
awesome	0.960
perfect	0.960
laugh	0.960
brainpower	0.958
inestimable	0.958
exult	0.958
luminance	0.958
likableness	0.958
expertly	0.958
venerate	0.958
comfortableness	0.958
pluckily	0.958
richly	0.958
funniness	0.958
indispensably	0.958
inspirer	0.958
dedicated	0.958
magnifico	0.958
extraordinariness	0.958
balminess	0.958
inclusively	0.958
lovinglife	0.958
favorably	0.958
perkiness	0.958
symptomless	0.958
provident	0.958
mirthfully	0.958
incorruptibility	0.958
superiorly	0.958
highflying	0.958
statesmanlike	0.958
discoveries	0.958
miraculously	0.958
fascinating	0.958
merriness	0.958
reinvigoration	0.958
beneficiate	0.958
danceable	0.958
honorability	0.958
grandmaster	0.958
hoorah	0.958
awardee	0.958
specialness	0.958
indomitably	0.958
illustriously	0.958
steadfastness	0.958
strongpoint	0.958
cavort	0.958
grandbaby	0.958
honestly	0.958
comprehensible	0.958
devoutness	0.958
funnier	0.958
debonair	0.958
wellspring	0.958
workability	0.958
creaseless	0.958
mastership	0.958
masterly	0.958
publishable	0.958
survivorship	0.958
healable	0.958
equalitarianism	0.958
torchbearer	0.958
unshaken	0.958
extraordinarily	0.958
unshackled	0.958
starburst	0.958
lucidity	0.958
dependableness	0.958
chivalrousness	0.958
heavenward	0.958
standout	0.958
moneysaving	0.958
cheeriness	0.958
magically	0.958
largess	0.958
liveable	0.958
braveness	0.958
ethically	0.958
desirably	0.958
safeness	0.958
abolitionist	0.958
feast	0.958
levelheaded	0.958
effervescency	0.958
charities	0.958
applaudable	0.958
worthiness	0.958
prestigiously	0.958
harmoniousness	0.958
incontrovertible	0.958
outpace	0.958
improvability	0.958
sunbath	0.958
enamor	0.958
efficaciously	0.958
honeymoon	0.958
profundity	0.958
articulateness	0.958
optimistic	0.958
merry	0.958
benefaction	0.958
frostless	0.958
cornucopian	0.958
humanness	0.958
winterless	0.958
whizzkid	0.958
zealousness	0.958
enhancer	0.958
intuitiveness	0.958
cornucopia	0.958
starriness	0.958
fabulous	0.958
incandesce	0.958
unsinkable	0.958
farseeing	0.958
desirableness	0.958
emblaze	0.958
nondiscriminatory	0.958
sacredness	0.958
sanely	0.958
conservable	0.958
megabucks	0.952
archangelic	0.952
snugness	0.952
superabundant	0.952
undismayed	0.952
unmarred	0.952
vivacity	0.952
sunburst	0.952
unspotted	0.952
smartly	0.952
immortalization	0.952
compatriotism	0.952
rejuvenator	0.952
attainability	0.952
transcendently	0.952
erudition	0.952
germproof	0.952
stouthearted	0.952
benediction	0.952
worthily	0.952
invigorator	0.952
veraciousness	0.952
amigo	0.952
uncorrupt	0.952
deliverer	0.952
immortalizer	0.952
sainthood	0.952
comely	0.952
multimillionaire	0.952
remunerative	0.952
dulcet	0.952
superconductor	0.952
sacredly	0.952
spaceflight	0.952
mutualism	0.952
humoristic	0.952
wholehearted	0.952
eternalize	0.952
covetable	0.952
orderliness	0.952
admirably	0.952
outclass	0.952
intrepidity	0.952
mightily	0.952
glittery	0.952
endearment	0.952
solvable	0.952
stupendously	0.952
lightheartedly	0.952
jocularly	0.952
voluptuousness	0.952
twinkly	0.952
cherubim	0.952
demigoddess	0.952
fortuned	0.952
unassailably	0.952
cheerfully	0.952
freed	0.952
alps	0.952
thoroughness	0.952
euphony	0.952
comprehensibility	0.952
habitability	0.952
warmly	0.952
cloudless	0.952
wealthily	0.952
queenly	0.952
innovationist	0.952
unconditionally	0.952
gladly	0.952
merrymaker	0.952
successful	0.949
hearts	0.948
lovable	0.948
merriment	0.948
reward	0.945
cogency	0.944
pasteurization	0.944
wonderfulness	0.944
powerfulness	0.944
bibliophilic	0.944
fearlessness	0.944
naturalness	0.944
rhapsodic	0.944
happyheart	0.944
irreproachably	0.944
entrepreneurial	0.944
supercharged	0.944
unrivaled	0.944
hugged	0.944
conscientiously	0.944
donator	0.944
captivator	0.944
invincibleness	0.944
elate	0.944
effectivity	0.944
curer	0.944
nobleness	0.944
biodiversity	0.944
adorability	0.944
voluntarism	0.944
auspiciousness	0.944
amorously	0.944
kissable	0.944
undisputable	0.944
fosterer	0.944
truth	0.942
glorify	0.940
great success	0.940
excellent	0.940
peace	0.939
cheerfulness	0.938
thankful	0.938
fantastic	0.938
admiration	0.938
lovemaking	0.938
triumph	0.938
positively	0.938
birthday	0.938
adorable	0.938
happynewyear	0.938
adventurous	0.938
trustworthy	0.938
opportunity	0.938
goodness	0.938
extraordinary	0.938
freedom	0.938
delighted	0.938
wonderfully	0.938
beloved	0.938
wellness	0.938
harmoniously	0.938
family	0.936
win win	0.936
awards	0.936
happy dance	0.934
thanksgiving day	0.934
good will	0.934
greatly positive	0.934
kiss	0.934
inspired	0.934
melodically	0.933
treehouse	0.933
outsell	0.933
exhilarative	0.933
sublimely	0.933
blessedly	0.933
melodic	0.933
trustworthily	0.933
masterfulness	0.933
have success	0.932
feelgood	0.928
respect	0.927
cheery	0.927
nontoxic	0.926
reacceptance	0.926
conjugality	0.926
brightener	0.926
memories	0.926
transfigure	0.926
honorable	0.926
giggly	0.926
felicitously	0.926
unalloyed	0.926
antifascist	0.926
nonirritating	0.926
kingfisher	0.926
deftness	0.926
gregariousness	0.926
synergetic	0.926
honeybunch	0.926
unblock	0.926
tactfully	0.926
everblooming	0.926
regenerator	0.926
uncrushable	0.926
adroitness	0.926
liking	0.926
enjoyer	0.926
usability	0.926
braver	0.926
harmonistic	0.926
sturdily	0.926
marvel	0.922
goodnews	0.922
goodday	0.922
savior	0.920
congratulations	0.920
amusing	0.920
happiness	0.920
lucky	0.920
winner	0.920
sweetheart	0.918
satisfied	0.918
satisfactory	0.918
confidence	0.918
positive	0.918
scrumptious	0.918
talent	0.918
sweetest	0.918
glorious	0.918
enjoy	0.918
christmas	0.918
efficient	0.918
fiancee	0.918
congratulatory	0.918
vacation spot	0.918
positivity	0.918
tasty	0.918
jolly	0.918
success	0.918
loveliness	0.918
laughter	0.918
meaningfully	0.917
valiance	0.917
epicure	0.917
alertly	0.917
charming	0.917
trailbreaker	0.917
unconquerable	0.917
imperishably	0.917
upgraded	0.917
perceptivity	0.917
merrymaking	0.917
errorless	0.917
medalist	0.917
sanguinity	0.917
omnisciently	0.917
positivism	0.917
bono	0.917
playability	0.917
inviolability	0.917
knowledgeably	0.917
imaginativeness	0.917
luxuriously	0.917
woundless	0.917
supercar	0.917
tremendousness	0.917
infallibleness	0.917
cardinalship	0.917
angelically	0.917
tunefulness	0.917
scalability	0.917
abloom	0.917
unselfishness	0.917
luckiness	0.917
participative	0.917
polyglot	0.917
promoted	0.917
eulogizer	0.917
unflappable	0.917
inoffensiveness	0.917
luminescence	0.917
hanukkah	0.917
bibliophilism	0.917
notability	0.917
playfully	0.917
advantageously	0.917
innovator	0.917
superconducting	0.917
bombproof	0.917
synergism	0.917
buoyantly	0.917
recommendable	0.917
employability	0.917
unhampered	0.917
venerably	0.917
excalibur	0.917
tranquil	0.917
warmness	0.917
wizardly	0.917
emancipationist	0.917
knowhow	0.917
monumentalize	0.917
guilelessness	0.917
nonpartisanship	0.917
motivating	0.916
joyous	0.916
excellence	0.916
great	0.916
abundant	0.916
sky	0.916
thank	0.916
friendship	0.916
celebrations	0.916
rewarding	0.916
generosity	0.916
riches	0.916
grateful	0.916
humorist	0.916
enlightened	0.912
winning	0.910
right thing	0.910
decorate	0.908
commend	0.906
applause	0.906
encouraged	0.906
gleesome	0.905
preholiday	0.905
renewability	0.905
impressiveness	0.905
embraceable	0.905
unbigoted	0.905
surefooted	0.905
nonbacterial	0.905
resoluteness	0.905
dauntlessly	0.905
achiever	0.905
spryness	0.905
contentedly	0.905
adventuresome	0.905
attentiveness	0.905
speedster	0.905
amorousness	0.905
undestroyed	0.905
pulitzer	0.905
favorableness	0.905
irradiance	0.905
rediscover	0.905
limpid	0.905
resplendent	0.905
creativeness	0.905
irradiant	0.905
poeticism	0.905
lucidly	0.905
sumptuously	0.905
tranquilly	0.905
fairyland	0.905
persuasiveness	0.905
empathically	0.905
inviolable	0.905
adorably	0.905
cathartically	0.905
dapperly	0.905
accomplisher	0.905
stableness	0.905
loyalist	0.905
capableness	0.905
sensibleness	0.905
exoneration	0.905
exonerator	0.905
boundlessly	0.905
facilitation	0.905
grandparental	0.905
firemen	0.905
favorable	0.904
good time	0.904
respectful	0.902
praised	0.900
make happy	0.900
goodies	0.900
team player	0.900
jackpot	0.900
love life	0.900
happy ending	0.900
exciting	0.900
friendliness	0.899
cute	0.899
lovee	0.898
winnings	0.898
delight	0.898
illuminating	0.898
triumphant	0.898
affectionate	0.898
optimism	0.898
embrace	0.898
innovation	0.898
tenderness	0.898
sohappy	0.898
peacetime	0.898
harmony	0.898
guarantee	0.898
rising star	0.896
thrive	0.896
prosperous	0.896
pleasurable	0.896
happy holidays	0.896
engaging	0.896
clean energy	0.896
cheers	0.896
party	0.896
glory	0.896
marvelous	0.896
holiday	0.896
in love	0.896
congratulation	0.896
majestic	0.896
lovelovelove	0.896
graciously	0.896
spectacular	0.894
hopeful	0.894
trophy	0.894
luxurious	0.894
thrilling	0.893
good job	0.892
smiley face	0.892
fiesta	0.891
superman	0.890
leapfrogging	0.889
blitheness	0.889
cohesively	0.889
opulently	0.889
supercomputer	0.889
palatability	0.889
propitious	0.889
profitably	0.889
cleanness	0.889
stargaze	0.889
logicality	0.889
immunogenic	0.889
trustfulness	0.889
reforest	0.889
suitability	0.889
seamlessly	0.889
amiably	0.889
dexterousness	0.889
exuberate	0.889
festivity	0.889
shockproof	0.889
calmly	0.889
accessibly	0.889
consensually	0.889
inexhaustibly	0.889
effectively	0.889
readability	0.889
easeful	0.889
enshrine	0.889
jocularity	0.889
grandfatherly	0.889
reputably	0.889
honourable	0.889
repeatability	0.889
stainlessness	0.889
uncluttered	0.889
harmonizer	0.889
immunotherapy	0.889
irreproachableness	0.889
stoutheartedly	0.889
remarkableness	0.889
amicably	0.889
encyclopedic	0.889
vigorousness	0.889
undamaging	0.889
doctoral	0.889
providentially	0.889
transcendentally	0.889
wholeness	0.889
inoffensive	0.889
harmonistically	0.889
starred	0.889
invulnerably	0.889
newlyweds	0.889
aseptic	0.889
luminosity	0.889
exceptionality	0.889
puppy	0.889
astuteness	0.889
envied	0.889
energy	0.888
approving	0.886
amused	0.884
glowing	0.880
sweetened	0.880
positiveenergy	0.880
hero	0.880
rosy	0.880
feelinggood	0.880
pleased	0.878
familytime	0.878
pleasure	0.878
flourish	0.878
pleasant	0.878
brilliant	0.878
holidays	0.878
goodfeeling	0.878
gold	0.878
talented	0.878
celebration	0.878
great trust	0.878
satisfaction	0.878
memorable	0.878
wonder	0.878
honored	0.876
youth	0.876
harmonious	0.876
glad	0.876
charisma	0.876
goodhealth	0.876
sensational	0.876
newyear	0.876
charismatic	0.876
inspiration	0.876
charmed	0.876
victory	0.876
attractiveness	0.876
kindness	0.876
good	0.876
earnings	0.876
brightness	0.876
cheer	0.876
goodwill	0.876
almighty	0.876
inviting	0.876
creativity	0.876
spiritual	0.876
happyplace	0.876
honesty	0.876
liberty	0.876
healthy	0.876
concert	0.876
unimpaired	0.875
enfranchisement	0.875
scratchproof	0.875
attagirl	0.875
idolize	0.875
creaseproof	0.875
breathable	0.875
pearliness	0.875
incomparably	0.875
superfine	0.875
comprehensibleness	0.875
charitableness	0.875
adeptly	0.875
worshipfulness	0.875
eruditely	0.875
supersensible	0.875
exceptionally	0.875
reunification	0.875
glamorize	0.875
principled	0.875
flowerlike	0.875
engenderment	0.875
felicitate	0.875
fortuitously	0.875
prescience	0.875
exhilarator	0.875
assuredness	0.875
godliness	0.875
sparkler	0.875
beautifully	0.875
inconquerable	0.875
dynamism	0.875
silkily	0.875
auspiciously	0.875
awardable	0.875
edifier	0.875
dignifiedly	0.875
playmaker	0.875
chivalrously	0.875
surmount	0.875
uncontaminated	0.875
wiser	0.875
laborsaving	0.875
harmlessly	0.875
aesthetical	0.875
failsafe	0.875
wellmannered	0.875
discipleship	0.875
oceanfront	0.875
